GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"RUA DOS PINHEIROS, 1057, SAO PAULO, SAO PAULO - BRASIL","015047162639120000","015","047","162639","12","0000",PI,PIN,"1",S,S,ZEU,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","2891",RUA DOS PINHEIROS,"1057","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5678871","-46,6878328"
"PRACA MONSENHOR JOSE MARIA MONTEIRO, 82, SAO PAULO, SAO PAULO - BRASIL","024072110795120000","024","072","110795","12","0000",LA,LAP,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","3109",PRACA MONSENHOR JOSE MARIA MONTEIRO,"82","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5395394","-46,7027179"
"TV ANTONIO BARROCA, 118, SAO PAULO, SAO PAULO - BRASIL","070067277312110000","070","067","277312","11","0000",ST,TUC,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","132",TV ANTONIO BARROCA,"118","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,4677776","-46,6001653"
"ALAMEDA TIETE, 46, SAO PAULO, SAO PAULO - BRASIL","014006189472110000","014","006","189472","11","0000",PI,JDP,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1230",ALAMEDA TIETE,"46","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5632183","-46,6642303"
"RUA MOURATO COELHO, 111, SAO PAULO, SAO PAULO - BRASIL","015022142824100000","015","022","142824","10","0000",PI,PIN,"1",S,S,ZEU,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","1300",RUA MOURATO COELHO,"111","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5659311","-46,6860419"
"PRACA SENADOR LINEU PRESTES, 326, SAO PAULO, SAO PAULO - BRASIL","081285119067100000","081","285","119067","10","0000",PI,PIN,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","388",PRACA SENADOR LINEU PRESTES,"326","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5585706","-46,692005"
"RUA ALVARO DE CARVALHO, 163, SAO PAULO, SAO PAULO - BRASIL","006032008800090000","006","032","008800","09","0000",SE,REP,"3",S,S,ZC,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","623",RUA ALVARO DE CARVALHO,"163","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,SEGUNDO QUADRIMESTRE,"2022","1","-23,5489638","-46,6415883"
"AVENIDA REBOLCAS, , SAO PAULO, SAO PAULO - BRASIL","013024169196090000","013","024","169196","09","0000",PI,JDP,"3",S,S,ZEU,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","0",AVENIDA REBOLCAS,,"1","0","0",,U,,S,LOTE COM NUMERO APROXIMADO.,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5655782","-46,6805658"
"RUA JOAO MOURA, 375, SAO PAULO, SAO PAULO - BRASIL","013040103870090000","013","040","103870","09","0000",PI,JDP,"1",S,S,ZEU,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","2414",RUA JOAO MOURA,"375","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5619178","-46,6768558"
"RUA GIRASSOL, 555, SAO PAULO, SAO PAULO - BRASIL","081167080047090000","081","167","080047","09","0000",PI,PIN,"3",S,S,ZM,"0",,L,"16402","2016",S,QA,"5",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","3856",RUA GIRASSOL,"555","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,SEGUNDO QUADRIMESTRE,"2022","1","-23,5542738","-46,6901614"
