GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,COD_QUAD,COD_ANO,COND,Lat_Y_,Long_X_
"RUA IBIAJARA, 320,SAO PAULO, SAO PAULO - BRASIL","138069306916080000","138","069","306916","08","0000",IQ,ITQ,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","500",RUA IBIAJARA,"320","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5312724","-46,4341502"
"RUA HENRIQUE BARCELOS, 49,SAO PAULO, SAO PAULO - BRASIL","145167666653060000","145","167","666653","06","0000",IQ,PQC,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","297",RUA HENRIQUE BARCELOS,"49","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5698802","-46,4809064"
"RUA JOAO BEZERRA DE SOUSA, 224,SAO PAULO, SAO PAULO - BRASIL","145011749052050000","145","011","749052","05","0000",IQ,CLD,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","300",RUA JOAO BEZERRA DE SOUSA,"224","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5567283","-46,4804931"
"RUA DR RAUL MANSO SAYAO FILHO, 198,SAO PAULO, SAO PAULO - BRASIL","150222169005030000","150","222","169005","03","0000",SM,SMT,"2",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","316",RUA DR RAUL MANSO SAYAO FILHO,"198","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,6019255","-46,47742"
"AVENIDA OSVALDO VALLE CORDEIRO, 1360,SAO PAULO, SAO PAULO - BRASIL","147327222682030000","147","327","222682","03","0000",IQ,CLD,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","5482",AVENIDA OSVALDO VALLE CORDEIRO,"1360","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5608753","-46,4833726"
"RUA AGOSTINHO DE FARIA, 323,SAO PAULO, SAO PAULO - BRASIL","145025784940030000","145","025","784940","03","0000",IQ,CLD,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","347",RUA AGOSTINHO DE FARIA,"323","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5590815","-46,4774636"
"RUA FLOR DE JUPITER, 100,SAO PAULO, SAO PAULO - BRASIL","140074035114030000","140","074","035114","03","0000",IQ,ITQ,"2",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","373",RUA FLOR DE JUPITER,"100","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,519423","-46,4585278"
"RUA MACHADO DE CASTRO, 203,SAO PAULO, SAO PAULO - BRASIL","147104632465020000","147","104","632465","02","0000",IQ,CLD,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","250",RUA MACHADO DE CASTRO,"203","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5607544","-46,4966147"
"RUA PEDRO TALARICO, 1177,SAO PAULO, SAO PAULO - BRASIL","146108304190020000","146","108","304190","02","0000",PE,VMT,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","269",RUA PEDRO TALARICO,"1177","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2022","1","-23,5480197","-46,5065126"
"AVENIDA OSVALDO VALLE CORDEIRO, 1340,SAO PAULO, SAO PAULO - BRASIL","147327222682020000","147","327","222682","02","0000",IQ,CLD,"1",S,S,ZEIS-5,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","5497",AVENIDA OSVALDO VALLE CORDEIRO,"1340","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,SEGUNDO QUADRIMESTRE,"2022","1","-23,5611112","-46,4837437"
