GEOCODE,ID,COD_SET_ZON,COD_QDR_ZON,COD_LOG_ZON,COD_CNDM_ZON,COD_LOTE_ZON,SGL_SUBP_EDIC,SGL_DSTR_EDIC,COD_TSTD_ZON,IND_VRFC_EDIC,IND_EXCL_INCL_CRGA,SGL_ZONA_01_ZON,COD_PRMR_01_ZON,SGL_LNDR_01_ZON,COD_TIP_LEGC_01,COD_LEGC_01_ZON,ANO_LEGC_01_ZON,IND_ADCA_CRGA,SGL_ZONA_02_ZON,COD_PRMR_02_ZON,SGL_LNDR_02_ZON,COD_TIP_LEGC_02,COD_LEGC_02_ZON,ANO_LEGC_02_ZON,SGL_ZONA_03_ZON,COD_PRMR_03_ZON,SGL_LNDR_03_ZON,COD_TIP_LEGC_03,COD_LEGC_03_ZON,ANO_LEGC_03_ZON,SGL_ZONA_04_ZON,COD_PRMR_04_ZON,SGL_LNDR_04_ZON,COD_TIP_LEGC_04,COD_LEGC_04_ZON,ANO_LEGC_04_ZON,SGL_ZONA_05_ZON,COD_PRMR_05_ZON,SGL_LNDR_05_ZON,COD_TIP_LEGC_05,COD_LEGC_05_ZON,ANO_LEGC_05_ZON,SGL_ZONA_06_ZON,COD_PRMR_06_ZON,SGL_LNDR_06_ZON,COD_TIP_LEGC_06,COD_LEGC_06_ZON,ANO_LEGC_06_ZON,COD_AREA_CONST,COD_AREA_LT,COD_END_LOG,COD_NUM_PORT,COD_SIT,VALOR_MET_CODLOG,VALOR_MET_MED_ZON,NUM_PAV,SGL_ZON_URB_RUR,ANO_CONST,IND_EXCL_OBS,TXT_OBS_01_EDIC,TXT_OBS_02_EDIC,NOME_CID_EDIC,NOME_EST_EDIC,NOME_PAIS_EDIC,REG_LIM_ADM,QUADRIMESTRE,COD_ANO,COD_COND,Lat_Y_,Long_X_
"RUA SILVIO DE SOUSA, 122,
SAO PAULO, SAO PAULO - BRASIL","102067182796030000","102","067","182796","03","0000",MO,ARA,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","133",RUA SILVIO DE SOUSA,"122","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,PRIMEIRO QUADRIMESTRE,"2022","1","-23,5758021","-46,5596979"
"RUA SOSANA CONTI DE OLIVEIRA , 113,
SAO PAULO, SAO PAULO - BRASIL","102051215309000071","102","051","215309","00","0071",VP,SLU,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","126","105",RUA SOSANA CONTI DE OLIVEIRA,"113","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5787721","-46,5498643"
"RUA FAUSTO FIGUEIRA DE MELO , 140,
SAO PAULO, SAO PAULO - BRASIL","113134069205020000","113","134","069205","02","0000",PE,VMT,"2",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","254",RUA FAUSTO FIGUEIRA DE MELO,"140","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","1","-23,545059","-46,5050098"
"RUA DOUTOR NELSON MADUREIRA , 78,
SAO PAULO, SAO PAULO - BRASIL","113134144860030000","113","134","144860","03","0000",PE,VMT,"2",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","0","254",RUA DOUTOR NELSON MADUREIRA,"78","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","1","-23,5447526","-46,50485"
"RUA ALBERTO FLORES , 445,
SAO PAULO, SAO PAULO - BRASIL","113135005169000096","113","135","005169","00","0096",PE,VMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","186","186",RUA ALBERTO FLORES,"445","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5439508","-46,5038862"
"RUA ALBERTO FLORES, 445,
SAO PAULO, SAO PAULO - BRASIL","113135005169000097","113","135","005169","00","0097",PE,VMT,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","186","186",RUA ALBERTO FLORES,"445","1","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,5439508","-46,5038862"
"RUA GUIRA-ACANGATARA, 224,
SAO PAULO, SAO PAULO - BRASIL","129004617318000029","129","004","617318","00","0029",PE,CNG,"2",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","182","182",RUA GUIRA-ACANGATARA,"224","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4985928","-46,5270862"
"RUA GUIRA-ACANGATARA, 222,
SAO PAULO, SAO PAULO - BRASIL","129004617318000030","129","004","617318","00","0030",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","95","117",RUA GUIRA-ACANGATARA,"222","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,498691","-46,5271469"
"RUA GUIRA-ACANGATARA, 216,
SAO PAULO, SAO PAULO - BRASIL","129004617318000031","129","004","617318","00","0031",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","280","149",RUA GUIRA-ACANGATARA,"216","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,4985892","-46,527174"
"RUA GUIRA-ACANGATARA, 359,
SAO PAULO, SAO PAULO - BRASIL","129004617318000032","129","004","617318","00","0032",PE,CNG,"1",S,S,ZMA,"0",,,"0","0",S,QA,"12",,,"0","0",MA,"5",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0","718","359",RUA GUIRA-ACANGATARA,"359","0","0","0",,U,,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,PRIMEIRO QUADRIMESTRE,"2022","0","-23,499344","-46,5263177"
